Team,Player,Role,Final_Price,Stats,Image_PathChennai Super Kings,Khaleel Ahmed,Bowler,4.80 Cr,Can bowl at both ends of an innings | An attacking left-arm wicket-taker | Plenty of experience as a net bowler for India,images/Khaleel_Ahmed.jpg
Delhi Capitals,Kuldeep Yadav,Bowler,13.25 Cr,,images/Kuldeep_Yadav.jpg
Delhi Capitals,Tristan Stubbs,Batter,10.00 Cr,,images/Tristan_Stubbs.jpg
Delhi Capitals,Lungi Ngidi,Bowler,2.00 Cr,"Tall, hit-the-deck-hard bowler, who can move the ball both ways | Can touch 140 kph | Has good variations and troubles batters with his bounce",images/Lungi_Ngidi.jpg
Delhi Capitals,Ajay Jadav Mandal,Allrounder,30.00 L,"Solid all-rounder, hard hitter of the ball and handy left arm spinner | Big turner of the ball, troubles right handers | Good player of the pull shot, unfazed by short pitched bowling",images/Ajay_Jadav_Mandal.jpg
Delhi Capitals,Nitish Rana,Batter,4.20 Cr,Can play as an opener and in the middle-order | Decent sixth-bowling option | Experience in playing high-pressure situations,images/Nitish_Rana.jpg
Delhi Capitals,Ben Duckett,WK-Batter,2.00 Cr,Left-handed aggressive opener | Very strong square of the wicket | Can don the gloves as well,images/Ben_Duckett.jpg
Delhi Capitals,Prithvi Shaw,Batter,75.00 L,Aggressive opening batter | High on intent in the powerplay | Has a touch of class and elegance in his strokeplay,images/Prithvi_Shaw.jpg
Delhi Capitals,T Natarajan,Bowler,10.75 Cr,"Yorker and death over specialist | Brings the left-arm angle into play | Took 19 wickets, the most by a SRH bowler in 2024",images/T_Natarajan.jpg
Delhi Capitals,Ashutosh Sharma,Allrounder,3.80 Cr,Six-hitter | Played a few gems for PBKS last season in the death overs,images/Ashutosh_Sharma.jpg
Delhi Capitals,Mukesh Kumar,Bowler,8.00 Cr,Canny and experienced pacer from Bengal | Could be used as a middle-over enforcer with the ball | Has 20 wickets from 17 T20Is so far,images/Mukesh_Kumar.jpg
Delhi Capitals,Tripurana Vijay,Bowler,30.00 L,,images/Tripurana_Vijay.jpg
Delhi Capitals,Abishek Porel,WK-Batter,4.00 Cr,,images/Abishek_Porel.jpg
Delhi Capitals,Karun Nair,Batter,50.00 L,"Elegant batter | Maharaja Trophy KSCA T20 Player of the Tournament (56 avg, 181.22 SR) | Did not play the previous two IPLs",images/Karun_Nair.jpg
Delhi Capitals,Mitchell Starc,Bowler,11.75 Cr,Broke the bank last year by becoming the costliest buy in IPL history | Proved why he is a big match player with a PoTM performance in the final | Has a lethal yorker and can be a big weapon at the death,images/Mitchell_Starc.jpg
Delhi Capitals,Sameer Rizvi,Batter,95.00 L,,images/Sameer_Rizvi.jpg
Gujarat Titans,Jayant Yadav,Allrounder,75.00 L,Handy stump to stump bowler who keeps tight lines | Troubles the left-arm batters with the away going delivery | Economical bowler,images/Jayant_Yadav.jpg
Gujarat Titans,Ravisrinivasan Sai Kishore,Bowler,2.00 Cr,Bowls left-arm orthodox and is sometimes used as a floater with the bat | Bowls wicket-to-wicket and is very accurate | Can bowl with the new ball as well,images/Ravisrinivasan_Sai_Kishore.jpg
Gujarat Titans,Mohammed Siraj,Bowler,12.25 Cr,Can swing the new ball and be skiddy as well | Has improved on death overs bowling,images/Mohammed_Siraj.jpg
Gujarat Titans,Rahul Tewatia,Allrounder,4.00 Cr,,images/Rahul_Tewatia.jpg
Gujarat Titans,Prithvi Raj Yarra,Bowler,30.00 L,Leftâ€‘arm medium pace bowler from Andhra | Consistent wicketâ€‘taking ability | Best of 3/7 in T20s,images/Prithvi_Raj_Yarra.jpg
Gujarat Titans,Nishant Sindhu,Allrounder,30.00 L,Strong on anything short and wide | More than handy with the ball,images/Nishant_Sindhu.jpg
Gujarat Titans,Shahrukh Khan,Allrounder,4.00 Cr,,images/Shahrukh_Khan.jpg
Gujarat Titans,Kumar Kushagra,WK-Batter,65.00 L,"Part of India U19 World Cup squad in 2020 | Was the focus of a three way bidding war between Gujarat, Chennai and Delhi in the 2023 Auctions | Is Indiaâ€™s youngest batter to score 250+ in domestic cricket, achieved that as 17 year old",images/Kumar_Kushagra.jpg
Gujarat Titans,Jason Holder,Allrounder,7.00 Cr,Lanky fast-bowling all-rounder | Has improved his death bowling | Extracts good bounce with his height,images/Jason_Holder.jpg
Gujarat Titans,Tom Banton,WK-Batter,2.00 Cr,"Has featured in as many as 8 T20 leagues across the world | Bats at the top of the order, can keep wickets and is a good catcher",images/Tom_Banton.jpg
Gujarat Titans,Shubman Gill,Batter,16.50 Cr,,images/Shubman_Gill.jpg
Gujarat Titans,Sai Sudharsan,Batter,8.50 Cr,,images/Sai_Sudharsan.jpg
Gujarat Titans,Washington Sundar,Allrounder,3.20 Cr,One of the leading Indian all-rounders | Technically sound batter that can bat anywhere | Bowls with high control and in the powerplay,images/Washington_Sundar.jpg
Gujarat Titans,Jos Buttler,WK-Batter,15.75 Cr,"One of the most feared T20 batters | Adds leadership value, led England to glory in the 2022 T20 WC | Has scored 7 IPL tons, second only to Virat Kohli - 8 hundreds",images/Jos_Buttler.jpg
Gujarat Titans,Ishant Sharma,Bowler,75.00 L,Has 300-plus Test wickets | Has a best of 5/12 in T20s | Decent economy of 8.24 in IPL (110 games so far),images/Ishant_Sharma.jpg
Gujarat Titans,Anuj Rawat,WK-Batter,30.00 L,Has 26 fours and 14 sixes after his first 21 games in IPL | Prefers opening the batting but was used as a finisher by RCB in IPL 2024 | A naturally attacking player who can hit sixes for fun once settled,images/Anuj_Rawat.jpg
Gujarat Titans,Glenn Phillips,Allrounder,2.00 Cr,Big-hitter particularly off the backfoot | Can keep wickets and is a gun outfielder | Bowls handy off-spin,images/Glenn_Phillips.jpg
Gujarat Titans,Manav Suthar,Allrounder,30.00 L,Classic left-arm spinner | Varies the pace brilliantly | Has a terrific bowling record in First-Class cricket,images/Manav_Suthar.jpg
Gujarat Titans,Gurnoor Brar,Bowler,1.30 Cr,Tall hit the deck hard pacer | Moves the ball in the air and off the deck | Bowl above 140kph,images/Gurnoor_Brar.jpg
Gujarat Titans,Arshad Khan,Bowler,1.30 Cr,,images/Arshad_Khan.jpg
Gujarat Titans,Prasidh Krishna,Bowler,9.50 Cr,Procures bounce off any surface | Has good mix of variations | He was not a part of the 2024 season with an injury,images/Prasidh_Krishna.jpg
Gujarat Titans,Rashid Khan,Allrounder,18.00 Cr,,images/Rashid_Khan.jpg
Gujarat Titans,Kagiso Rabada,Bowler,10.75 Cr,Can bowl in all phases | Gets the ball to skid and rushes batters as well | Handy with bat too,images/Kagiso_Rabada.jpg
Gujarat Titans,Luke Wood,Bowler,75.00 L,Can swing the new ball into the right-hander | Can hit the ball a long way | Bowls at a good pace and hustles the batter,images/Luke_Wood.jpg
Gujarat Titans,Ashok Sharma,Bowler,90.00 L,Leading wicket-taker in the ongoing 2025 SMAT | Consistently clocks deliveries above 140 km/h | Best figures of 4/16,images/Ashok_Sharma.jpg
Kolkata Knight Riders,Finn Allen,WK-Batter,2.00 Cr,Belligerent opening batter | Loves taking on the bowlers in the powerplay | Can keep wickets if needed,images/Finn_Allen.jpg
